nan
Al Pacino
George Hickenlooper
Sally Potter
Robby Henson
Corey Allen
Albert Brooks
Kenneth Branagh
Georges Franju
Jerome Robbins
Pat Proft
Erle C. Kenton
Mamoru Hosoda
Angela Pope
Gurinder Chadha
Desmond Davis
Saul Rubinek
Steven Soderbergh
Dan Aykroyd
Robert Zemeckis
Lynn Hershman-Leeson
Jamie Uys
Richard Schenkman
Stacy Title
John Milius
Scott Reynolds
Clay Borris
Katt Shea
Chris Hunt
Martin Campbell
Federico Fellini
Gene Saks
David Lynch
Henry Jaglom
Bruce Brown
Mark Lewis
Kunihiko Yuyama
Atom Egoyan
Robert Lepage
Richard Spence
Karl Freund
John D. Hancock
Abraham Polonsky
Tim Burton
Kirk Wise
Geoff Murphy
Herschell Gordon Lewis
Christy Cabanne
Chuck Russell
Jack Arnold
Jan Sverák
Gore Verbinski
Louis Malle
Albert Lewin
Ferzan Ozpetek
Anna Campion
Peter Cattaneo
Jack Sholder
Kirk Jones
Clare Peploe
Lisa Cholodenko
Harvey Wang
Boaz Yakin
Pål Sletaune
Peter Yates
Alan Metter
Dominique Othenin-Girard
Frans Weisz
Amy Heckerling
Todd Haynes
Peter Chelsom
Jean-Jacques Beineix
Ramin Niami
Greg Mottola
Gary Goldman
Scott Kalvert
David Swift
Michael Pressman
Irwin Allen
Peter Greenaway
Christopher Hampton
David Beaird
Satoshi Kon
Stephen Low
Mike de Seve
Luc Dardenne
Simon Wells
Barbra Streisand
Joseph H. Lewis
David MacDonald
Jack Kinney
Jonathan Frakes
Corey Yuen
George Scribner
Julio de Fleischner
James Bridges
Mel Welles
Hamilton Luske
George Haas
Stuart Gordon
Paul McGuigan
Abbas Kiarostami
Damien O'Donnell
Robert Townsend
Anthony Harvey
Mark Piznarski
Terry O. Morse
Bernhard Wicki
Renny Harlin
Stephen Quay
Dennis Hopper
Carroll Ballard
Matthew Broderick
Alan Parker
Peter Kassovitz
John Lafia
William Friedkin
Hal Hartley
Frank Tashlin
Norton Virgien
Ernst Lubitsch
Betty Thomas
Mike van Diem
Stephen Norrington
Dean Semler
Robert F. Hill
Robert Lieberman
Ate de Jong
Juan José Campanella
Stephen Judson
Wallace Wolodarsky
Aaron Norris
Alan Zaslove
Kevin Yagher
Robert Greenwald
Terry Sanders
Larry David
Brett Leonard
Kiefer Sutherland
John O'Hagan
Charles Vidor
Wesley Strick
Claire Denis
Adam Collis
Jon Avnet
Bryan Singer
Carol Reed
Masami Hata
Theo van Gogh
Kar-Wai Wong
Patrice Toye
Alan Taylor
Frederik Du Chau
J. Elder Wills
Mark Joffe
Steve Buscemi
Mira Nair
Harold Ramis
Betty Kaplan
Norman Jewison
Patrice Leconte
Josef von Sternberg
Neil Jordan
Wolfgang Petersen
E. Max Frye
H. Bruce Humberstone
Hayao Miyazaki
Rob Walker
Ming-liang Tsai
Max Ophüls
Bibo Bergeron
Kevin Reynolds
Jerry Schatzberg
Michael Haigney
Steve Kloves
Benoît Mariage
Richard Fleischer
Luc Besson
Carlos Saura
Greg Spence
Jon Turteltaub
Guillermo del Toro
Terrence Malick
Robert Benton
Bill Norton
Julia Dyer
Dean Parisot
Michael Radford
Ron Howard
William A. Seiter
John Huston
Ron Shelton
Rose Troche
Ken Annakin
Sam Raimi
Mary Lambert
Takeshi Kitano
Don Weis
Nicole Holofcener
John Keitel
Raja Gosnell
Daniel Petrie Jr.
David Veloz
Sidney Lumet
Danny DeVito
Nicholas Ray
Terry George
Bob Clark
Jacques Tourneur
Peter Farrelly
Francesco Rosi
Doug McHenry
Carlo Rola
Holly Goldberg Sloan
Caroline Thompson
Hal Freeman
Giancarlo Lui
Henry King
Michael Lehmann
Tim Hill
Michael Mann
Gary Sinise
Frank Capra
Nigel Cole
José Luis Cuerda
Bennett Miller
Jack Baxter
John Sayles
Roland West
Hal Salwen
Franco Brusati
Krzysztof Kieslowski
Benoît Poelvoorde
Larry Cohen
Maya Angelou
Hugh Croise
Barry Levinson
Francis Veber
Rick Famuyiwa
Michael Caton-Jones
Madhur Jaffrey
Geoffrey Wright
Robert Z. Leonard
Jon Shear
Anna Maria Tatò
Seymour Hicks
Kon Ichikawa
Simon Wincer
Farhad Mann
Peter Shaner
René Gainville
William A. Wellman
Larry Clark
Predrag Antonijevic
Victor Schertzinger
Timothy Quay
Jon Sherman
John Cromwell
Matt Reeves
Pixote Hunt
Otto Lang
Jim Fall
John Carl Buechler
Ralph Ziman
John Harrison
Michael Davis
Jeffrey Katzenberg
John Glen
Robert Wise
James Melkonian
Paul Satterfield
Nicolas Roeg
Paul Quinn
Sofia Coppola
Gregory Widen
Laetitia Masson
Rob Bowman
Tom Donaghy
Damian Harris
Jeannot Szwarc
Randal Kleiser
Jean Yarbrough
F. Gary Gray
Edward Bernds
Erik Skjoldbjærg
David DeCoteau
Leone Pompucci
Rod Lurie
Patricia Rozema
Christopher Nolan
Allen Hughes
Dein Perry
Peter Jackson
Bruce Timm
Volker Schlöndorff
Godfrey Reggio
Fritz Lang
Susan Streitfeld
Brett Morgen
Mikel Conrad
Robert Leacock
Terence Fisher
Walter Hill
Michael Almereyda
Peter Sellars
John Duigan
Gary Fleder
Steven E. de Souza
Peter Speek
Stanley Donen
Carlos Ávila
Michael Martin
Bret McCormick
Troy Duffy
Alejandro Springall
John Boorman
Paul Turner
J. Lee Thompson
Caroline Thomas
Walter Salles
Toshio Masuda
Rob Cohen
Philip Haas
Adam Simon
Robert M. Young
Gaël Morel
Frédéric Mitterrand
Olivier Ducastel
David Allen
Jamie Blanks
Richard Martin
Michael Tolkin
William Nigh
Pedro Almodóvar
André Bonzel
Peter R. Hunt
John Cleese
Wes Craven
Dave Meyers
Antonia Bird
Billy Crystal
Alison Maclean
Udayan Prasad
Jean-Pierre Jeunet
Tim Reid
Stacy Cochran
Gregory La Cava
Ted Post
Tina Valinsky
Delbert Mann
Caroline Link
John Schultz
Vincenzo Natali
Tim Kirkman
Victor Salva
Laurence Olivier
Charley Rogers
Alain Resnais
Greg Harrison
David McNally
George Sidney
Curtis Harrington
Ted Demme
Lawrence Silk
M. Night Shyamalan
Mamoru Oshii
Charles Sturridge
Howard Goldberg
Moufida Tlatli
Tom Dey
Iara Lee
George Gage
Max Baer Jr.
Leslie Goodwins
Craig Lahiff
Evan Dunsky
Jeffrey Bloom
Gina Prince-Bythewood
Robert Clarke
Art Linson
Steven Baigelman
Jack Stokes
David Price
Vondie Curtis-Hall
Frank Borzage
Kelly Makin
Fraser C. Heston
Bob Spiers
Ernest B. Schoedsack
Jim Jarmusch
Tanya Wexler
Norman René
Kaige Chen
Sidney Franklin
Charles Matthau
Warren Beatty
Paul McCartney
Kenny Ortega
Julie Davis
Amy Holden Jones
Steve Gordon
Laurent Heynemann
Irvin Kershner
Bob Guccione
Jim Wilson
Robert Tinnell
José Luis Garci
Ping He
Marc Rocco
Forest Whitaker
Nick Gomez
Jeff Franklin
Yvonne Rainer
Christopher Menaul
Richard C. Sarafian
Mina Shum
Elia Kazan
David Nutter
Noah Baumbach
Bruce La Bruce
Katsuhiro Ôtomo
Penny Marshall
Gillies MacKinnon
Phillip Rhee
D.A. Pennebaker
Carl Prechezer
Jeremy Podeswa
Deran Sarafian
James Algar
Spike Jonze
Bruce McDonald
Darko Mitrevski
Lina Wertmüller
Alex Proyas
Josh Pate
Tim Sullivan
Jennifer Warren
Anand Tucker
Jean-Jacques Annaud
Augusto Caminito
Tony Bill
John N. Smith
Po-Chih Leong
Christian Vincent
Kris Isacsson
David Hand
Theodore Thomas
Burny Mattinson
James Whale
Ho Yim
Curtis Hanson
Yimou Zhang
Jodie Foster
Edward D. Wood Jr.
David Evans
Rémy Belvaux
Li Yin
Stephen Carpenter
Allison Anders
Robert Cormack
Todd Verow
Peter Weck
Nanette Burstein
Manoel de Oliveira
Yuri Zeltser
Reb Braddock
Mel Chionglo
Michael Anderson
Jean Rollin
Fred Williamson
Terry Zwigoff
Régis Wargnier
Masanori Hata
Michel Negroponte
Frédéric Fonteyne
Jennifer Baichwal
Jason Priestley
Peter Ho-Sun Chan
Eli Cohen
Kevin Jordan
Jakov Sedlar
Vincent Gallo
Kevin Dowling
Bruno Barreto
DJ Pooh
Mark Malone
André Téchiné
John Musker
Walter Lang
Tony Bancroft
Frank Whaley
Dana Lustig
William Keighley
Scott Alexander
Kevin Jarre
Barrie Nelson
Myles Berkowitz
John Schlesinger
John Singleton
Amos Poe
Eric Rochant
Bobcat Goldthwait
Alfred L. Werker
Jasmin Dizdar
Maurice Pialat
Douglas McGrath
Sammo Kam-Bo Hung
Gary Sinyor
Bob Fosse
Nicole Garcia
Bob Rafelson
Mark Pellington
Mark Herman
Don Chaffey
Alan Myerson
Neil Abramson
Anne Goursaud
Tony Kaye
Stanley Tong
Edward Zwick
Davis Guggenheim
Harold Prince
Robert Young
Pen Densham
Roberto Sneider
Fina Torres
Kirk Wong
David Dobkin
Lesli Linka Glatter
Gavin Wilding
William Malone
Josiane Balasko
Tony Gatlif
Gary Nelson
Sam Wood
Irving Pichel
L.A. Puopolo
Matt Williams
J.F. Lawton
Tim Johnson
Julian Goldberger
Diane Keaton
Nils Gaup
Mario Caiano
Karyn Kusama
Andrzej Zulawski
Robert Patton-Spruill
Leslie Greif
James Cameron
Richard Donner
Pat Verducci
Jonathan Demme
Mikael Kristersson
Scott Ziehl
Charles Shyer
Howard Deutch
Andrew Davis
David Twohy
Ronald Neame
Doug Pray
Victoria Foyt
Tim Hunter
Peter Cohn
María Luisa Bemberg
Errol Morris
Arne Glimcher
Mario Van Peebles
Adam Bernstein
Hilary Brougher
Joseph Dorman
Rodman Flender
Gaylene Preston
Jean-Luc Godard
Mark Pavia
Mitchell Leisen
Marshall Herskovitz
William Wyler
Gordon Douglas
Gil Junger
Eric Mendelsohn
Morton DaCosta
Lewis Gilbert
Sidney J. Furie
Nancy Meckler
Paul Weiland
Pontus Löwenhielm
Jimmy T. Murakami
Troy Byer
Mike Gabriel
Xavier Koller
Rick Castro
Jean-Pierre Bekolo
Gary Trousdale
Andrew Bergman
Howard Franklin
Emilio Estevez
Étienne Chatiliez
George Huang
Kevin Brodie
Rob Schmidt
Bill Forsyth
Maurizio Nichetti
Herbert Blaché
Scott Hicks
Bud Greenspan
Fred Zinnemann
Tibor Takács
Leon Gast
Barbara Sonneborn
Hans Petter Moland
Carl Franklin
Joseph Strick
Chris Koch
Søren Kragh-Jacobsen
Mark Waters
Bonnie Hunt
George Englund
Jeff Pollack
C.M. Talkington
John Murlowski
Jack Fisher
Kenneth Johnson
Gilbert Adler
Nick Cassavetes
Jim McKay
Gus Meins
Byron Haskin
Paul Michael Glaser
Mark L. Lester
Frank Darabont
Wolfgang Reitherman
John Lounsbery
Hark Tsui
Mario Bava
Charles Martin Smith
Santosh Sivan
Bob Balaban
Timothy Wayne Folsome
James B. Harris
Melanie Mayron
Hugh Hudson
Parris Patton
Eva Sereny
Umberto Lenzi
Jacques Demy
James Orr
Jonathan R. Betuel
Henri Verneuil
Jules Dassin
Gregory Hoblit
Hiroshi Teshigahara
Mark A.Z. Dippé
Julie Taymor
Frank Coraci
James Gray
Herbert Ross
Dan Riba
Tom Moore
Jon Amiel
Jeremy Kagan
Jan Svankmajer
Klaus Kinski
John G. Avildsen
Majid Majidi
Jonathan Kaplan
Otto Brower
Joshua Brand
Seung-hyun Kim
Richard Talmadge
Samuel Armstrong
Norberto Barba
Rowan Woods
Lucas Platt
John Rubino
Bill Condon
Jim Sharman
Craig Baldwin
Baz Luhrmann
Paul Verhoeven
Hal Ashby
Paris Barclay
S.F. Brownrigg
James Moll
Irving Rapper
Trey Parker
Agnieszka Holland
Åke Sandgren
Bertrand Blier
Rosemary Horvath
Gabriele Salvatores
Alfonso Cuarón
R.J. Kizer
Jennifer Lynch
Theodoros Angelopoulos
Stephen Verona
Peter Masterson
Liliana Cavani
Dennis Dugan
Norman Wright
Nick Katsapetses
Mike Judge
Tony Bui
Michael Oblowitz
Craig R. Baxley
Victor Nunez
Gerald Seth Sindell
Leon Ichaso
Norman Tokar
Steve Hickner
Andrew V. McLaglen
Wolf Rilla
Anthony Drazan
Pip Karmel
Don Siegel
Craig Rosenberg
Harry Elfont
Ash Baron-Cohen
James D. Stern
Jean-Pierre Dardenne
Bruce Malmuth
Kevin James Dobson
Harry d'Abbadie d'Arrast
Carol Frank
Ivan Passer
Nick Hamm
Ernest R. Dickerson
David Michener
Eric Styles
Andrew Morahan
Beth Gage
P.J. Castellaneta
John Hughes
Maria Ripoll
Jack Clayton
Fred Coppula
Jaco Van Dormael
Edmund Goulding
Dee McLachlan
Chris Newby
Steven Paul
Dale Rosenbloom
John Pieplow
Victor Saville
Bill Milling
Sally Field
Irwin Winkler
David Kellogg
Aris Iliopulos
George Jackson
Michael Ray Rhodes
Massimo Troisi
Michael Crichton
George Lucas
John Pasquin
Mark Sandrich
Raoul Walsh
David Zucker
Benoît Jacquot
Brian Levant
Allan Moyle
Billy Hopkins
David Van Taylor
Gérard Corbiau
Joe Berlinger
Gene Quintano
Alex Cox
Russ Hexter
John Hough
Steve Boyum
T. Hee
Stephen King
Richard Brooks
William T. Hurtz
Paul Weitz
Bruce Sinofsky
Peter Spirer
Bertrand Tavernier
Glen Pitre
Cédric Kahn
Bruce Paltrow
Russell Mulcahy
Bruce Joel Rubin
Frank Oz
Mel Stuart
Louis Saia
James Signorelli
Ray Kellogg
Steven Zaillian
Keoni Waxman
Alan Rudolph
George Marshall
Richard Rich
Eugenio Martín
Rich Wilkes
Arlene Sanford
Dave Borthwick
Henry Hathaway
Duwayne Dunham
Eric Radomski
Jerzy Domaradzki
Jonas Pate
David Riker
Alan Rickman
Don Taylor
Jamaa Fanaka
Craig Mazin
Francis Glebas
Sam Henry Kass
Mark Steven Johnson
Don Hahn
Friðrik Þór Friðriksson
Danny Hoch
Christian Nyby
Robert Harling
Roger Spottiswoode
Marion Vernoux
Kevin Goetz
Jim Handley
Vic Sarin
Adam Rifkin
Joshua Logan
Robert Mulligan
W.D. Richter
Martha Fiennes
Wesley Ruggles
Eric Schaeffer
Troy Miller
Bruce McCulloch
Michael Hoffman
Alek Keshishian
Mort Ransen
Jörg Buttgereit
Paul Morrissey
Helena Solberg
Douglas Aarniokoski
Sam Pillsbury
Linda Kandel
F.W. Murnau
Michael Lindsay-Hogg
Herb Gardner
John Leekley
Ingmar Bergman
Karim Dridi
Wim Wenders
William Dear
George A. Romero
Brian Evans
J.S. Cardone
Michael Cimino
Alain Berliner
Tom Hanks
Lavinia Currier
Bruce Kessler
Chris Fiore
Joe Carnahan
John Madden
David Anspaugh
Nickolas Perry
Peter Weir
George Ogilvie
Rolf de Heer
Gary Oldman
Jeremiah S. Chechik
Peter Horton
Busby Berkeley
John Elliotte
Kinka Usher
Martin Davidson
Charles Jarrott
Martin Rosen
Matthew Bright
Fred Dekker
Christopher Cain
Jeff Abugov
Catherine Breillat
Mathieu Kassovitz
Thomas Carter
Simon Shore
Luis Buñuel
Josef Rusnak
Monika Treut
Kurt Miller
Matthew Harrison
Daniel Geller
Ed Herzog
John Irvin
James L. Brooks
Jeffrey Friedman
Rouben Mamoulian
Michael Corrente
Pat O'Connor
Nick Castle
Lou Adler
Peter Baldwin
Michael Apted
Bill Roberts
Bille August
Don Edmonds
Cameron Crowe
Woody Allen
Floyd Mutrux
Ulli Lommel
Luis Puenzo
Finn Taylor
Aaron Speiser
Stijn Coninx
Christopher Ashley
Bob Gosse
Brett Ratner
Dariusz Jablonski
Ken Russell
Jerry Jameson
George Roy Hill
John Cassavetes
Kevin Costner
Harry Beaumont
Barry Cook
Luis Valdez
William Asher
Rafael Moleón
Patricia Birch
Agnès Varda
Victor Mignatti
Robert Allan Ackerman
William Cameron Menzies
Juan Carlos Tabío
Alan Jacobs
Mikael Salomon
Jocelyn Moorhouse
Perce Pearce
Kasi Lemmons
Jim Sheridan
Victor Sjöström
Paul Flaherty
David Hare
Les Mayfield
Rob Hedden
John Rich
Paul Thomas Anderson
Gianni Amelio
Kevin Smith
Michael Gornick
Michael A. Nickles
Elliott Nugent
P.J. Hogan
Joe Pytka
Steve James
Sandra Goldbacher
James Goldstone
Charles T. Kanganis
Edward F. Cline
Julie Dash
Roger Michell
Shin'ya Tsukamoto
W.S. Van Dyke
Bryan Spicer
Newt Arnold
Robert Marcarelli
Robert Gordon
Gregg Araki
Leslie Megahey
Marc Levin
Ralph S. Singleton
Roy Allen Smith
S.R. Bindler
Brian Yuzna
Justin Kerrigan
Elliot Silverstein
Steve Carr
Mark Tarlov
Félix Enríquez Alcalá
Howard Hughes
Aiyana Elliott
David Rocksavage
Ronny Yu
Chi Muoi Lo
Steve White
Jim Henson
Kurt Voss
Mike Figgis
Mark Dindal
Paul Warner
James Komack
Eric Darnell
Stefan Ruzowitzky
Sam Miller
Dario Argento
Jack Donohue
Shuki Levy
Phil Nibbelink
Richard Wenk
Robert Aldrich
Robert Longo
Claude Berri
Costa-Gavras
Philip Goodhew
William Beaudine
Brad Anderson
Michelangelo Antonioni
Ang Lee
Alex Sichel
Larry Morey
Susanne Ofteringer
Simon West
Blake Edwards
Peter Sehr
Richard Kwietniowski
Tiffanie DeBartolo
Anthony Minghella
Ben Sharpsteen
István Szabó
Gabriel Barylli
Raymond De Felitta
Roger Vadim
Ridley Scott
Gustavo Graef Marino
Yuri Mamin
Monika Harris
Peter Segal
William Witney
Margarethe von Trotta
Wro Stephens
Alfredo Leone
Desmond Nakano
Leslie Fenton
Scott Harris
Tom DiCillo
David Miller
Joseph Green
John Cornell
Eduardo Sánchez
Chuck Workman
Marek Kanievska
Bobby Farrelly
Sean Mathias
Gyula Gazdag
Éric Rohmer
Wes Anderson
Susan Seidelman
Wilfred Jackson
Bart Freundlich
Shekhar Kapur
Barry Sonnenfeld
Fran Rubel Kuzui
Maurice Joyce
Gordon Hessler
Paul Auster
Sönke Wortmann
Manuel Gómez Pereira
Patrick von Krusenstjerna
Paddy Breathnach
Lasse Hallström
Eric Tsang
Harold D. Schuster
Gréta Olafsdóttir
Hendel Butoy
Aleksandr Sokurov
Julian Stone
Daniel Lee
Spike Lee
Charles Burnett
Mary Ellen Bute
Mark Benjamin
George Pavlou
Fred M. Wilcox
John Swanbeck
Buck Henry
Julianna Lavin
Michael Ritchie
Tony Randel
Jack Fisk
Gustav Machatý
Jack O'Connell
Frank Perry
Deborah Brock
Gaspar Noé
Sam Mendes
Guy Ferland
Leslie Norman
Robert Bierman
Stephen Herek
Michael Winterbottom
Anton Leader
Eliseo Subiela
John Fortenberry
Yvan Le Moine
Tony Scott
Alex Graves
Lynne Stopkewich
Robert Butler
Lionel Coleman
Tom McLoughlin
Howard Zieff
Greg Berlanti
Glenn Gordon Caron
Brian Gilbert
Dominic Sena
Glenn Jordan
Peter M. Cohen
Bret Michaels
Malcolm Leo
Crane Wilbur
Audrey Wells
Nora Ephron
John Turturro
Jake Scott
Yuan Zhang
William Nicholson
Marc Evans
Albert Pyun
Harold Young
Harvey Miller
Chris Buck
Griffin Dunne
Tamar Simon Hoffs
Andy Wilson
Harmony Korine
Francis Ford Coppola
Kathryn Bigelow
Mick Davis
Keith Gordon
Milos Forman
Daniel Myrick
Risa Bramon Garcia
Frank Marshall
Cyril Collard
Gregory Nava
Joel Coen
Mikhail Kalatozov
Gaëtan Brizzi
Douglas Sirk
Susan Warms Dryfoos
Tony Vitale
Joseph Henabery
Raoul Ruiz
Andrew Stanton
John Whitesell
Ethan Coen
Sylvester Stallone
Keisuke Kinoshita
Claude Lelouch
Jonathan Winfrey
Roger Nygard
Jerrold Freedman
Miguel Bardem
James Frawley
Thomas Schlamme
Jesse Peretz
Bo Widerberg
Rupert Wainwright
John Llewellyn Moxey
Oz Scott
Neil LaBute
Olivier Assayas
Jean Negulesco
Darrell Roodt
Ted Nemeth
Charles Band
Tamara Hernandez
Stephen Kessler
Sergei Bodrov
David Carson
Thomas Vinterberg
Danny Boyle
Jorge Fons
Samira Makhmalbaf
Kinji Fukasaku
Darren Aronofsky
Dan Curtis
Vincent Ward
Chris Weitz
Stefan Schwartz
Eric Bross
Jack N. Green
Toby Shelton
Ray Müller
Mel Smith
Denys Arcand
Andrew J. Kuehn
Walter Murch
Ángel Muñiz
Tom Shadyac
Oliver Parker
Harve Foster
Stuart Burkin
Savage Steve Holland
Vicente Aranda
Jack Baran
George Mihalka
Antonio Tibaldi
Matty Rich
Michael Benson
John Farrow
Jean-Marie Poiré
Stephen Kijak
Lance Mungia
David Schmoeller
George Seaton
Jonathan Lynn
Peter Berg
Cindy Sherman
Des McAnuff
Quentin Tarantino
Iwao Takamoto
Radu Mihaileanu
Gus Van Sant
Julian Harris
Charles Barton
François Truffaut
Maurizio Lucidi
Peter Medak
Michael Bay
Stan Winston
Nigel Finch
Sally Mattison
Nancy Savoca
Jim Abrahams
John Ottman
Marshall Neilan
George W. George
Berit Nesheim
Steven Kampmann
Roland Emmerich
David Menkes
Virgil W. Vogel
Claude Chabrol
Ricky Tognazzi
Tom Holland
Koji Hashimoto
Junli Zheng
Harold Becker
Chris Innis
Lucian Pintilie
Victor Fleming
Britt Allcroft
Julien Temple
George Ratliff
Masayuki Suo
Allan Miller
Rémy Duchemin
Peter George
Jean-Pierre Marois
Don Roos
David Mirkin
Chris Smith
Fenton Bailey
Andrew Scheinman
Arnold Laven
John R. Leonetti
Peter MacDonald
Joseph Zito
Franco Zeffirelli
David Koepp
Nick Broomfield
Gerd Oswald
Randa Haines
Kevin Allen
Rebecca Miller
William Peter Blatty
Robert Iscove
Graeme Clifford
Art Stevens
Steve Oedekerk
William Porter
Tim Pope
Daniel J. Sullivan
Chris Walas
Reginald Hudlin
David Mamet
Leos Carax
Nina Gilden Seavey
Jaime Hellman
Phil Alden Robinson
Clint Eastwood
Al Reinert
Tran Anh Hung
Rick Rosenthal
John Badham
Ross Kagan Marks
Kevin Alyn Elders
Stanley Kramer
Tom DeCerchio
Stanley Kubrick
Robert Stevenson
Tom Schulman
Oliver Stone
Stuart Gillard
Abbe Wool
Darren Moloney
James Foley
John Halas
Robert Redford
Steve Gomer
Frieder Schlaich
George Armitage
Adrian Lyne
Barry Caillier
Theodore Witcher
Don Coscarelli
Tony Spiridakis
Peter Duffell
Sean Penn
Laslo Benedek
Max Färberböck
Maria Maggenti
Martin Donovan
Rowdy Herrington
Hart Bochner
Sean McNamara
Robert Adetuyi
Tom DeSimone
Manuel Pradal
Roger Kumble
Armando Crispino
Javier Elorrieta
Martha Coolidge
Malcolm D. Lee
Roberto Benigni
Jeffrey Delman
Grigori Kozintsev
Chris Eyre
Gaston Kaboré
Scott McGehee
Barbara Kopple
David O. Selznick
Antoine Fuqua
Barbet Schroeder
Temístocles López
Donal Lardner Ward
Jianxin Huang
Jack Bender
Richard Stanley
John O'Brien
Don Bluth
David Lowell Rich
Peter Hewitt
Joseph Losey
Paul Brickman
Don McKellar
Robert Downey Sr.
Guy Ritchie
Marie Pérennou
Mark Illsley
Marvin Baker
Carma Hinton
Jackie Chan
Dirk Shafer
Shôhei Imamura
Greg MacGillivray
Michael Chapman
Alex Zamm
John Johnson
Stephen Poliakoff
Ron Oliver
Jûzô Itami
Nathan Juran
Darin Scott
Taylor Hackford
Thom Fitzgerald
Mika Kaurismäki
John Guillermin
Brian De Palma
Richard Friedenberg
Michael Miller
Khyentse Norbu
Charles R. Rondeau
Edward Burns
Piers Haggard
Joseph L. Mankiewicz
Katja von Garnier
Millicent Shelton
Merian C. Cooper
Kevin Rodney Sullivan
Alfonso Albacete
John Warren
Norman Z. McLeod
Rob Reiner
Tom McNamara
James Keach
Douglas Keeve
Steve Rash
Terence Young
