Fisher Stevens
Herbert Jefferson Jr.
Frank Sivero
Bob Griffin
Ralph Macchio
Heather McComb
Maru Valdivielso
Virginia Cherrill
Katja Riemann
Jeanette Nolan
Jacques Marin
Jasmin Tabatabai
Chris Tucker
Mekhi Phifer
Jack Oakie
Hugh McDermott
Eddie Cutanda
Joely Fisher
Silvia Morgan
Simon Billig
Manu Intiraymi
Isa Pola
Akira Takarada
Ned Dowd
Ciarán Hinds
Richard Lewis
Lyle Lovett
Jacqueline Bisset
Rebel Penfold-Russell
David Suchet
Larry Roberts
Barbara Gordon
Judyann Elder
Kel Mitchell
Chris Phillips
Brian Keith
Mel Welles
Louis Wolheim
Jack Thompson
Gay Thomas Wilson
Margaret Whitton
Aleksandr Antonov
Kimberly Elise
Ann Wedgeworth
Rafael Cortes
Ajay Naidu
Thora Hird
Bernie Coulson
Ona Fletcher
Julia Louis-Dreyfus
Yvette McClendon
Maura Tierney
Max von Sydow
Patrick Lowe
Tracy Camilla Johns
Joan Plowright
Humphrey Bogart
Rod Steiger
Jacques Nolot
Katie Barberi
Ted Levine
Daniel Smith
John Sham
Doris Day
Tyra Banks
John Wray
Vincent Van Patten
Amel Hedhili
Dennis Hopper
Jeannetta Arnette
Ron Kuhlman
Jon Favreau
Sean Christensen
Anne-Marie Martin
Guy Torry
Barry Watson
Brandy Norwood
Des McAleer
Keeley Hawes
Mongo Brownlee
Kristine Sutherland
Christian Campbell
John Fraser
Marthe Keller
Valeriy Nikolaev
Marie Windsor
George Shane
Shannen Doherty
Peter Michael Goetz
Richard D. Fisher Jr.
Elena Altieri
Jackie Joseph
Shane Briant
George Constantin
Keith David
Laura Lovelace
John Savage
Giuseppe Cederna
Todd Allen
Katie Schlossberg
Miguel Ángel Fuentes
Nick Moran
Fujiko Yamamoto
Michael Sullivan
Jean-Paul Belmondo
Danny Zorn
Caroline Rothwell
Elza Radzina
Julie Adams
Al Ernest Garcia
Natalie Portman
Jake Busey
Scott McAfee
Bronia Wheeler
Jocelyn Jee Esien
Carolyn Saxon
Virginia Valli
Michael Villella
Darren McGavin
Russell Means
William Sylvester
Brenda Vaccaro
Jami Gertz
Bill Goldberg
María Galiana
Rosario Dawson
Donal Logue
Michèle Morgan
Anthony DeSando
Madeleine Stowe
Gerald R. Molen
Tony Danza
Alison Elliott
Lara Jill Miller
Valerie Mahaffey
Richard Troxell
Joe Sawyer
Aline Kominsky
Jay Paulson
Horace Heidt
Maurice Roëves
Solveig Dommartin
Keanu Reeves
Isuzu Yamada
Patricia Jessel
Dominique Pinon
Kate Beckinsale
Pascal Greggory
Chris Rock
Bojesse Christopher
Al Waxman
Jamie Foxx
Joe Bellan
Harold Ramis
Ted Knight
Chu-Ryun Kim
Gregory Walcott
Claude Akins
Billie Whitelaw
Carlin Glynn
Fabrice Luchini
Faizon Love
Neil Patrick Harris
Diana Kent
Carlo Alban
Dorien Thomas
Gary Wolf
Ángela Molina
Anna Condo
Jacques Villeret
Barbara Barrie
Mike Schwartz
Erika Eleniak
Burt Young
Don Porter
Mickey Knox
Nobu Kanaoka
Demetre Georgalas
Danny Lee
King Donovan
Jessica Dollarhide
Bob Geldof
Steven Tyler
Georges Guétary
Dominique Dunne
Neal MacMillan
Rosalind Chao
Jacques Viala
Redman
Paul Scofield
Martin West
John Rubinstein
Theresa Russell
Greg Webb
Michel Muller
You Ge
Harrison Ford
Janet Leigh
Michael Redgrave
Sebastian Cabot
Ernie Kovacs
Sidney Blackmer
Kirk Acevedo
Sterling Holloway
Ron Howard
Donald Wolfit
Cantinflas
John Huston
Jack Benny
Glen Campbell
Eric Lloyd
Jean Seberg
Ruocheng Ying
Richard Farnsworth
Guy Davis
Loni Anderson
Takeshi Kitano
Glenne Headly
Xingli Niu
Daphne
Riccardo Salvino
Russell Schweickart
Lena Farugia
William Ash
James Fox
Danny DeVito
Heinz Bennent
Eva Marie Saint
Kevin Dunn
Heath Ledger
Nicholas Turturro
Una Merkel
Paolo Villaggio
Chuck Connors
Kelly Jo Minter
Kristen Cloke
Eddie Albert
Jon Simanton
Karin Viard
Anne Christianson
George Harrison
Gary Sinise
Thomas McHugh
Hossein Mahjoub
Ethan Glazer
Jonathan Pryce
Tim Keegan
Patricia Neal
Jie Gao
Samuel L. Jackson
Nanette Fabray
Patsy Kelly
Ben Daniels
Zhaoji Jia
Sonia Manzano
Jill Bennett
James Cagney
Janel Moloney
Larry Miller
Irma P. Hall
Adrienne Barbeau
Robert Rusler
Peter Giles
Caroline Chikezie
John Carson
Maya Angelou
Richard Courcet
Terrence 'T.C.' Carson
Chris Eastman
Queen Latifah
Madhur Jaffrey
Annabella Sciorra
Kimberly Guerrero
Danny Glover
John Haycraft
Denise Richards
Scott 'Carrot Top' Thompson
Shaz Bennett
DeVaughn Nixon
Robert Newton
Ely Pouget
Margaret Lockwood
Toby Stephens
John McMartin
Matthew Delamere
Mare Winningham
Stuart Paul
Eri Watanabe
Margaret Whiting
James Mason
Shô Kosugi
Philip Baker Hall
Anna Friel
Niklas Olund
Kareem Abdul-Jabbar
Jay Z
Lynne Roberts
Steven Mackintosh
Elizabeth Perkins
Jacob Vargas
Nikolay Grinko
Tomas Milian
Helen Chandler
Maris Wrixon
Karl Dane
Brandon Lee
Clark Johnson
Frederick Stafford
Michelle Johnson
Robert Armstrong
Michael Rapaport
Glen Cavender
Alva Rogers
Josh Hartnett
Brion James
Lalchand Banerjee
Tomokazu Seki
Christiane Hörbiger
Neda Arneric
Josef Sommer
Goldie Hawn
John Spencer
Kelly Lynch
Florence Pernel
Manner Washington
Hayley Mills
Gene Lockhart
Bitty Schram
Richard Kiel
Vincent Kartheiser
Al Freeman Jr.
Ron Brown
Daniel Benzali
T.K. Carter
Alan Ladd
Daniela Romo
Anna Quayle
Sinbad
Johnathon Schaech
Earl White
Barret Hackney
Iben Hjejle
Lainie Kazan
Tim Conway
Juliano Mer-Khamis
Andree Maranda
Kay Lenz
Clive Brook
Lee Evans
Hardy Krüger
Cal Bartlett
Val Bettin
Julie Mauduech
Hertel Minkner
Neva Clarke McKenna
Eric Weinstein
Paul Robeson
Rene Ceballos
John Plumpis
John Sutton
Richard Long
John Salemmo
David Arquette
John Mahoney
Keir Dullea
Bessie Love
Richard Carlson
Pû
Robert Vaughn
Jack Gilford
Perrey Reeves
7 Year Bitch
Bono
Sergio Corrieri
John Wood
Joseph Bennett
Dylan McDermott
Richard Bohringer
Verónica Forqué
Hartley Power
Pierre Richard
Patrick O'Neal
Aleksandr Lazarev
Reginald Gardiner
Angie Everhart
Miou-Miou
Cher
Mary Vivian Pearce
Enrique Castillo
Brad Greenquist
Britt Ekland
Gisken Armand
Steve Forrest
Robert Dracup
Joseph Wiseman
Carmelo Di Mazzarelli
Jason Gedrick
John Standing
Melanie Griffith
Angel David
Gabriele Ferzetti
Chloe Webb
Phyllis Logan
Richard Edson
Jane Seymour
Alida Valli
Carrie Henn
Saeed Jaffrey
Gyurme Tethong
Eric Pierpoint
Brent Briscoe
David Herman
Kurtwood Smith
Mark Merritt
Bruce Balden
Kitao Sakurai
Lamberto Maggiorani
Angeline Ball
Gisela Hertwig
Johnny Depp
Ian Nelson
Amira Casar
Rainer Werner Fassbinder
Kang-sheng Lee
Lorraine Pilkington
Michael Martin
Luke Edwards
Rod Mullinar
Kim Stanley
Brooke Bundy
Hend Sabry
Torin Thatcher
Bruce Greenwood
Jonathan Rhys Meyers
Ken Carpenter
David Cale
Gordon MacDonald
Carroll O'Connor
Rip Torn
Mason Gamble
Bruce Baum
Charlotte Lewis
Norma Shearer
Gail Harris
Marvin Elkins
David O'Hara
José Rafael Arango
Saffron Burrows
Eva Cobo
Jenny McCrindle
Bruno Ganz
David Thornton
Michael O'Keefe
Miguel Sandoval
Duane Boutte
Brenda Fricker
Tamar van den Dop
Teresa Mo
Lama Chonjor
Gustaw Holoubek
Mark Feuerstein
Damon Wayans
Nicolette Krebitz
Nicole Picard
Rola Al Amin
Elizabeth Edmonds
LisaGay Hamilton
John Lithgow
Chenoa Maxwell
Frédéric Gorny
Gretchen Palmer
Edward Everett Horton
Victoria Abril
Stephanie Davis
John Ventimiglia
Mary Meade
Tom Hickey
Joyce Phillips
Brian Fisk
Charles Coburn
Bug Hall
Bette Midler
Carroll Baker
Arnold Schwarzenegger
Robert Ryan
Yoshi Oida
Vinny Argiro
Tomas Melly
Heidelinde Weis
F. Murray Abraham
Aunjanue Ellis
Michelle Rodriguez
Vanessa Lee Asher
Jonah Blechman
Lacey Chabert
Pam Grier
Peter Phelps
Terele Pávez
Rachael Crawford
Arthur Laurents
Paul Henreid
Christine Taylor
Bobalu
Terry Potter
Catherine Schell
Mauricio Venegas
Rachel Rosenthal
Alexandra Kyle
Natascha McElhone
Lionel Atwill
Loene Carmen
Damián Delgado
Jordan Ladd
Cinqué Lee
Anthony Lucero
Max Schreck
Anica Dobra
Diana Rice
Marie-Christine Barrault
Marianne Hagan
Max Baer Jr.
Barry Bostwick
Mark Herrier
Henry Fonda
Keely Christian
Steven O'Donnell
E.G. Marshall
Johanna ter Steege
Nick Raggett
Vin Diesel
Osheen Jones
Simon Baker
Paul Muni
Otto Kruger
Maya Lin
Screamin' Jay Hawkins
Hiroko Itô
Jennifer Aniston
David Andriole
James Baskett
Geoffrey Palmer
Stephanie Chang
Cornel Wilde
John Gavin
Lori Singer
Meagan Good
Inge Landgut
Vondie Curtis-Hall
Sylvia Roemer
Callum Keith Rennie
Jane Horrocks
Jonathan Banks
Vivien Leigh
Charles Berling
Anthony Quinn
Wen Jiang
Kirsten Dunst
Adam Beach
Dennis Rodman
Tom Wilkinson
Richard Dreyfuss
Anton Glanzelius
Crispin Glover
Whit Bissell
Eve Arden
Don Gordon
Gail Thackray
Robin Gammell
Jim Jarmusch
Morris Chestnut
Carl de Vogt
Nicol Williamson
Sarah Badel
Heather Langenkamp
Sandra Oh
Jerry Nelson
David Hayman
Lorraine De Selle
Sheila Hancock
Anna Galiena
Yvan Attal
Carlos Jacott
Tôru Nakamura
Willy Semler
Jason David Frank
Judith Godrèche
Paul McCartney
Robert Arthur
Kayoko Kishimoto
Lilli Palmer
Kalina Jedrusik
Elsa Lanchester
Greg Collins
Robert Loggia
Oliver Robins
Ken Jenkins
Leelee Sobieski
Harve Presnell
Deborah Hobart
Gary Lockwood
Lisa Simone
Michael H. Moss
Ronald Colman
Andy Dick
Jim Wilson
Gemma Craven
Marie Park
Gregory Smith
Ally Sheedy
Ramon Moses
Jo Ann Harris
Stephen Baldwin
Brittany Boyd
Sam Neill
Jackie Johnson
George Thrush
Peter Falk
Josif Josifovski
Michael C. Williams
Evan Rachel Wood
Melanie Brown
Isabel Jeans
Whittni Wright
Rafael Báez
Temuera Morrison
Harland Williams
Michael Strong
Devin Matthews
Victor Argo
Jessica Steen
Katharine Towne
Priscilla Lane
Paul Herman
Leopold Stokowski
John Meillon
Dick Hogan
Joe Perry
Lynn-Holly Johnson
Phillip Rhee
David Rasche
Marshall R. Teague
Georg H. Schnell
Julie Christie
Alexandra Paul
Maryann Plunkett
Martin Kemp
Dan Rivera González
Joseph Ashton
David Blair
Maureen Teefy
Jürgen Prochnow
Jennifer Grey
Shimon Aviel
Jeannine Taylor
Melina Mercouri
Elizabeth Mitchell
Susan Kiger
Dyna Gauzy
Marie Ault
Sonia Braga
Frank Adu
Chayanne
Chris Farley
Tupac Shakur
Frederick Weller
Si Han
Ron Brice
Andrey Khalimon
Patrick Wymark
Donna Mitchell
Pauly Shore
Luisito Martí
Ruth Marshall
Oliver Reed
Patrick Timsit
Takuzô Kawatani
Johnny Yong Bosch
Kay Kendall
Catrin Fychan
Jan Rubes
Blaze Berdahl
Barbii
Brad Vancour
John Lydon
Matt Stone
Lawrence T. Wrentz
Julius Epstein
Matt Dillon
David Lodge
John Malkovich
John Henrik Clarke
Henry Kendall
Virginia Fairchild
Tricia Leigh Fisher
Neville Phillips
Victor Ertmanis
Greyson Erik Pendry
Dolores Costello
Leo Bassi
Sean Nelson
Bopsa
Gene Simmons
Heidi Kling
Eva Bartok
Wesley Addy
Tatjana Trieb
Carolyn Jones
Mel Jackson
Richard Harris
Marceline Hugot
Abraham Benrubi
Ann Sheridan
Jane Randolph
Fred Williamson
Wanda Cannon
Clancy Brown
Kate Ashfield
Tom Arnold
Vanessa Williams
Raghuvir Yadav
Katy Jurado
Robert Shaw
Tulku Jamyang Kunga Tenzin
Una O'Connor
Fabienne Dali
Dominique Blanc
Duane Martin
Melissa Leo
Mark Williams
Compay Segundo
Barrie Ingham
Helen Haye
Barbara Jefford
John Castle
Robert Culp
Jessica Lange
Irving Metzman
Jennifer Connelly
Morgane Maugran
Marian Seldes
David Lochary
Dieter Wardetzky
Georg John
Don Francks
Geraldine Fitzgerald
Barbara Parkins
Linh Dan Pham
Jim True-Frost
Robert Webber
Jay Brazeau
Samuel Monroe Jr.
Sessue Hayakawa
Rhonda Fleming
Annie Potts
Randy Becker
Dominique Swain
Marlene Willoughby
Rebecca Pidgeon
Julie Brown
Donald Pleasence
Robbie Coltrane
Kong Chu
Frank Whaley
Michael Raynor
Devon Sawa
Mimsy Farmer
Gustav von Wangenheim
Andrew Robinson
Lawrence Dane
Elena Fiore
Eleonora Giorgi
Myles Berkowitz
Kim Novak
Alan Howard
Courtney Taylor
Snitz Edwards
Garrett Morris
Viola Harris
Matthew Perry
Jack Buetel
Valérie Bonneton
Xander Berkeley
Mark Pettitt
Armando Valdes-Kennedy
Elayn J. Taylor
John Laurie
Jessica Campbell
Guy Kibbee
Frank Finlay
Ally Walker
Jean-Claude Drouot
Mark Acheson
Kevin Dillon
David Booth
Robert Young
Barbara Adams
Otto Wernicke
Dávid Vermes
Kim Richards
Rossana Podestà
Nick Stahl
Eric Deacon
Dick Van Dyke
Jean-Hugues Anglade
Gary Lahti
Tracey Ullman
Lloyd Dunn
Jim Siedow
Peter Reznick
Mohan Agashe
Richard Ingram
Frederick Koehler
Mischa Barton
Susanna Hoffs
Freddie Jones
Josiane Balasko
Susan Blakely
Mark Bringelson
Sam Rockwell
Setti Ramdane
Sherry Miller
Ovidiu Balan
Fengyi Zhang
Karen Allen
Sara de Roo
Bruce Cabot
Ana Fernández
Glenn Ford
Moby
Michael Michele
Zahra Naderi
Amie Petersen
Tim Conlon
Dan Futterman
Maxene Andrews
Marc Shaiman
Joey Lawrence
Sylva Koscina
Caroline Ducey
Antonio Fargas
Carolyn Farina
Jonathan Ke Quan
Evelyne Kraft
Elizabeth Shepherd
Zorie Barber
James Hampton
Kevyn Major Howard
Phoebe Cates
Lillo Brancato
Denis Jadót
Ronny Cox
Hazel Court
Bora Todorovic
Henry Winkler
Sihung Lung
Teresa Ann Savoy
Dolph Lundgren
David Naughton
Louw Verwey
Amy Braverman
Kathryn Mullen
Gad Elmaleh
Clive Russell
Karen Dotrice
Don Harvey
Charles Kahlenberg
Kate Capshaw
James Otis
Dominique Horwitz
Merrin Dungey
Lynn Mabry
Dana Delany
Jean Smart
Mackenzie Firgens
Richard Roundtree
Bernie Van De Yacht
Eugene Cernan
Francesca Faridany
Ryan O'Neal
Brock Peters
Sheryl Lee
Jeff Morrow
Juliane Köhler
Niall MacGinnis
Jimmy Nail
Clément Harari
Melissa Moore
Norm MacDonald
Dexter Fletcher
Deezer D
Brigitte Lin
R.A. Mihailoff
David Kagen
Don King
Dwight Frye
Robin Harris
Sally Kellerman
Vince McMahon
Helena Bonham Carter
Kôji Mitsui
Jean Wallace
Alex Rocco
Mark Danvers
Rosie Perez
Geraldine Page
Soia Lira
Jiayi Du
Elizabeth Daily
Lena Stolze
Nina Siemaszko
Warwick Davis
Anne Baxter
Teresa Garrett
Kim Myers
Hossein Moharami
Swapan Mukherjee
Matt Lattanzi
Raoul Lévy
John Wayne
Elisabeth Welch
Catherine Keener
Ger Ryan
Jean Yanne
Jimmy Biyona
Susan Traylor
Sondra Locke
Kanko Kasongo
Rigg Kennedy
Inés Vernengo
Bruklin Harris
Jo Marr
Paula Marshall
Eddie Money
Kôji Yakusho
John Pinette
Nancy Allen
Darwyn Carson
Christopher Bradley
John Slattery
Amanda Root
Lila Kedrova
Michael Vartan
June Foray
Joyce Van Patten
George De La Pena
Kadeem Hardison
Gosia Dobrowolska
Cliff De Young
Troy Byer
Erica Yohn
Eamonn Owens
Tony Haygarth
Carl Bradshaw
Stanley Logan
Barry Brenner
Nicholas Selby
RuPaul
Marie Mullen
Emilio Estevez
Plácido Domingo
Brian Russell
Aneta Corsaut
Bethany Joy Lenz
Janet Jackson
Gary Farmer
Mitzi Gaynor
Basil Rathbone
Mirta Ibarra
Doug Savant
Armand Assante
Roberta Wallach
Edith Meeks
Debra Messing
Richard Bradford
Nancy Walters
Tim Daly
Gracie Allen
Nina Usatova
Olivia Newton-John
Nicholas Brendon
Gilda Radner
María Rojo
Valérie Lagrange
William Frawley
Christian Päffgen
Buddy Hackett
Yvonne Zima
Andréa Ferréol
Shon Greenblatt
Megan Ward
Tura Satana
Courtney B. Vance
Geoffrey Blake
Thandie Newton
Laibach
Esmond Knight
Chris Spencer
Keri Russell
Soloman K. Smith
John Clarke
Valérie Kaprisky
Elize Frances Stolk
Adam Garcia
Jason Salkey
Elena Mandalis
Wilhelmenia Fernandez
Massoumeh Naderi
Curt Bois
Scott Charles
Drew Barrymore
Quinn Cummings
Betty Furness
Bob Papenbrook
Alan Cumming
Annemarie Düringer
Jane Birkin
Hari Rhodes
Jane Galloway Heitz
Raymond Massey
Evelyn Ankers
June Allyson
Ariane Schluter
Dorothée Blanck
Marion O'Dwyer
Fatima Ben Saïdane
Ray Barlow
Roxanne Hart
Hugo Weaving
Matt Damon
Gandong Cervantes
Benjamin Weir
Brendan Dawson
Celia Imrie
Josh Charles
Siu Tin Yuen
Mira Banjac
Chad Morgan
Joseph Cross
Audrey Dalton
