	user_emb_id	gender	age	occupation	zipcode	age_desc	occ_desc
50	50	F	1	10	10562	Under 18	K-12 student
51	51	M	18	4	72212	18-24	college/grad student
52	52	M	25	0	96931	25-34	other or not specified
53	53	M	50	1	56723	50-55	academic/educator
54	54	F	35	12	55303	35-44	programmer
55	55	M	35	20	60440	35-44	writer
56	56	M	18	19	30350	18-24	unemployed
57	57	M	25	2	30303	25-34	artist
58	58	F	50	1	55413	50-55	academic/educator
59	59	M	50	1	72118	50-55	academic/educator
60	60	M	25	17	95122	25-34	technician/engineer
61	61	F	35	3	98105	35-44	clerical/admin
62	62	M	18	4	54902	18-24	college/grad student
63	63	M	18	1	53706	18-24	academic/educator
64	64	M	35	12	55803	35-44	programmer
65	65	M	25	18	57706	25-34	tradesman/craftsman
66	66	F	50	5	60181	50-55	customer service
67	67	M	18	4	53706	18-24	college/grad student
68	68	F	25	1	02143	25-34	academic/educator
69	69	M	18	4	53703	18-24	college/grad student
70	70	M	25	14	95008	25-34	sales/marketing
71	71	F	45	0	55122	45-49	other or not specified
72	72	M	18	4	53706	18-24	college/grad student
73	73	M	35	14	94530	35-44	sales/marketing
74	74	F	1	10	01748	Under 18	K-12 student
75	75	M	35	7	55413	35-44	executive/managerial
76	76	M	18	4	15321	18-24	college/grad student
77	77	F	45	1	98029	45-49	academic/educator
78	78	F	45	0	98103	45-49	other or not specified
79	79	M	56	1	49327	56+	academic/educator
80	80	F	25	0	60640	25-34	other or not specified
81	81	M	25	17	48380	25-34	technician/engineer
82	82	F	25	2	94609	25-34	artist
83	83	M	18	4	53140	18-24	college/grad student
84	84	M	18	4	94945	18-24	college/grad student
85	85	F	1	10	54467	Under 18	K-12 student
86	86	M	25	14	48360	25-34	sales/marketing
87	87	F	45	1	02476	45-49	academic/educator
88	88	F	56	9	85749	56+	homemaker
89	89	M	56	13	85749	56+	retired
90	90	M	35	7	07650	35-44	executive/managerial
91	91	F	18	4	44243	18-24	college/grad student
92	92	M	25	17	95825	25-34	technician/engineer
93	93	M	25	17	28601	25-34	technician/engineer
94	94	M	45	0	98201	45-49	other or not specified
95	95	F	25	16	78028	25-34	self-employed
96	96	F	35	3	66210	35-44	clerical/admin
97	97	F	35	7	33547	35-44	executive/managerial
98	98	F	1	10	19390	Under 18	K-12 student
99	99	M	35	17	95401	35-44	technician/engineer
100	100	F	18	3	33314	18-24	clerical/admin
101	101	M	35	19	20871	35-44	unemployed
102	102	M	45	7	92104	45-49	executive/managerial
103	103	M	25	12	00926	25-34	programmer
104	104	M	45	12	90277	45-49	programmer
105	105	F	35	11	79101	35-44	lawyer
106	106	M	45	18	63129	45-49	tradesman/craftsman
107	107	M	25	12	30316	25-34	programmer
108	108	M	45	15	92028	45-49	scientist
109	109	M	25	2	90803	25-34	artist
110	110	M	35	15	55416	35-44	scientist
111	111	M	25	16	97209	25-34	self-employed
112	112	M	18	12	37032	18-24	programmer
113	113	F	25	2	83712	25-34	artist
114	114	M	25	17	28083	25-34	technician/engineer
115	115	M	25	17	55744	25-34	technician/engineer
116	116	M	25	17	33314	25-34	technician/engineer
117	117	M	35	17	22315	35-44	technician/engineer
118	118	F	1	10	77515	Under 18	K-12 student
119	119	M	25	11	27106	25-34	lawyer
120	120	M	35	7	75229	35-44	executive/managerial
121	121	F	18	4	94305	18-24	college/grad student
122	122	M	35	9	67208	35-44	homemaker
123	123	M	56	7	91356	56+	executive/managerial
124	124	M	45	14	01701	45-49	sales/marketing
125	125	M	18	9	98117	18-24	homemaker
126	126	F	45	3	01770	45-49	clerical/admin
127	127	M	56	6	37922	56+	doctor/health care
128	128	M	25	11	20164	25-34	lawyer
129	129	M	35	17	50021	35-44	technician/engineer
130	130	M	18	4	06520	18-24	college/grad student
131	131	M	25	17	99709	25-34	technician/engineer
132	132	F	25	0	55071	25-34	other or not specified
133	133	M	25	0	66212	25-34	other or not specified
134	134	M	18	4	20006	18-24	college/grad student
135	135	M	18	2	21202	18-24	artist
136	136	F	45	6	78758	45-49	doctor/health care
137	137	M	18	20	22203	18-24	writer
138	138	F	25	20	45409	25-34	writer
139	139	F	35	1	55107	35-44	academic/educator
140	140	M	35	13	62035	35-44	retired
141	141	M	25	7	10011	25-34	executive/managerial
142	142	M	18	3	64043	18-24	clerical/admin
143	143	M	25	17	29401	25-34	technician/engineer
144	144	M	18	4	19081	18-24	college/grad student
145	145	F	35	20	10954	35-44	writer
146	146	M	18	4	91360	18-24	college/grad student
147	147	M	50	17	57747	50-55	technician/engineer
148	148	M	25	1	29205	25-34	academic/educator
149	149	M	35	7	98144	35-44	executive/managerial
150	150	F	25	20	85013	25-34	writer
151	151	M	18	4	48104	18-24	college/grad student
152	152	M	1	10	51537	Under 18	K-12 student
153	153	M	50	20	94530	50-55	writer
154	154	M	35	12	07470	35-44	programmer
155	155	F	45	7	14519	45-49	executive/managerial
156	156	M	35	16	12866	35-44	self-employed
157	157	M	56	7	28754	56+	executive/managerial
158	158	F	45	0	37922	45-49	other or not specified
159	159	M	35	7	13021	35-44	executive/managerial
160	160	M	45	16	98107-2117	45-49	self-employed
161	161	F	18	4	93117	18-24	college/grad student
162	162	M	18	4	85013	18-24	college/grad student
163	163	F	56	13	94566	56+	retired
164	164	M	18	16	98502	18-24	self-employed
165	165	M	18	4	92802	18-24	college/grad student
166	166	F	25	11	10022	25-34	lawyer
167	167	F	50	0	46970	50-55	other or not specified
168	168	M	25	7	55439	25-34	executive/managerial
169	169	M	25	11	07002	25-34	lawyer
170	170	F	50	17	55441	50-55	technician/engineer
171	171	M	25	3	07661	25-34	clerical/admin
172	172	M	25	0	45237	25-34	other or not specified
173	173	M	25	16	21203	25-34	self-employed
174	174	F	25	2	95123	25-34	artist
175	175	F	18	3	55016	18-24	clerical/admin
176	176	M	50	1	54016	50-55	academic/educator
177	177	M	56	17	53705	56+	technician/engineer
178	178	M	25	0	02135	25-34	other or not specified
179	179	M	45	12	01603	45-49	programmer
180	180	M	18	17	33186	18-24	technician/engineer
181	181	M	18	4	03052	18-24	college/grad student
182	182	F	45	1	55407	45-49	academic/educator
183	183	F	25	0	19001	25-34	other or not specified
184	184	M	45	0	14468	45-49	other or not specified
185	185	M	18	5	91767	18-24	customer service
186	186	F	45	1	94061	45-49	academic/educator
187	187	M	56	16	79930	56+	self-employed
188	188	M	18	0	60076	18-24	other or not specified
189	189	M	25	17	55125	25-34	technician/engineer
190	190	M	18	4	04915	18-24	college/grad student
191	191	M	18	1	10977	18-24	academic/educator
192	192	F	45	15	44106	45-49	scientist
193	193	F	1	10	29146	Under 18	K-12 student
194	194	M	25	12	10458	25-34	programmer
195	195	F	35	9	94587	35-44	homemaker
196	196	M	18	14	10023	18-24	sales/marketing
197	197	M	25	12	55108	25-34	programmer
198	198	M	18	4	83706	18-24	college/grad student
199	199	F	18	4	84321	18-24	college/grad student
200	200	F	35	2	55117	35-44	artist
201	201	M	18	4	53706	18-24	college/grad student
202	202	F	18	4	53715	18-24	college/grad student
203	203	M	25	7	92123	25-34	executive/managerial
204	204	M	35	12	97333	35-44	programmer
205	205	M	25	17	20194	25-34	technician/engineer
206	206	M	25	12	94115	25-34	programmer
207	207	M	35	17	55432	35-44	technician/engineer
208	208	M	35	1	90048	35-44	academic/educator
209	209	F	1	10	25801	Under 18	K-12 student
210	210	M	45	17	90620	45-49	technician/engineer
211	211	M	25	16	53714	25-34	self-employed
212	212	F	18	4	01609	18-24	college/grad student
213	213	M	18	20	80218	18-24	writer
214	214	M	35	14	92075	35-44	sales/marketing
215	215	M	45	13	52761	45-49	retired
216	216	M	18	4	22903	18-24	college/grad student
217	217	M	35	14	95822	35-44	sales/marketing
218	218	F	25	4	55113	25-34	college/grad student
219	219	M	25	12	22903	25-34	programmer
220	220	F	25	0	94063	25-34	other or not specified
221	221	M	25	1	55116	25-34	academic/educator
222	222	M	25	17	28262	25-34	technician/engineer
223	223	F	18	4	14850	18-24	college/grad student
224	224	M	25	7	11215	25-34	executive/managerial
225	225	M	35	1	94518	35-44	academic/educator
226	226	M	35	20	90291	35-44	writer
227	227	M	25	15	55455	25-34	scientist
228	228	M	18	10	04576	18-24	K-12 student
229	229	M	45	1	43210	45-49	academic/educator
230	230	M	25	3	55455	25-34	clerical/admin
231	231	M	25	20	55408	25-34	writer
232	232	F	45	20	37919-4204	45-49	writer
233	233	M	35	7	39652	35-44	executive/managerial
234	234	M	25	0	98153	25-34	other or not specified
235	235	M	25	5	55126	25-34	customer service
236	236	M	25	6	46835	25-34	doctor/health care
237	237	F	50	7	90291	50-55	executive/managerial
238	238	M	18	19	94618	18-24	unemployed
239	239	M	50	17	55113	50-55	technician/engineer
240	240	M	35	20	55121	35-44	writer
241	241	F	18	4	53706	18-24	college/grad student
242	242	M	25	16	11576	25-34	self-employed
243	243	M	50	7	19072	50-55	executive/managerial
244	244	M	35	16	66046	35-44	self-employed
245	245	F	18	4	60625	18-24	college/grad student
246	246	M	25	17	94404	25-34	technician/engineer
247	247	M	18	17	72703	18-24	technician/engineer
248	248	F	18	14	48126	18-24	sales/marketing
249	249	M	35	16	11229	35-44	self-employed
250	250	M	56	17	55105	56+	technician/engineer
251	251	M	25	12	94112	25-34	programmer
252	252	F	25	11	97370	25-34	lawyer
253	253	M	35	17	49015	35-44	technician/engineer
254	254	M	35	0	85310	35-44	other or not specified
255	255	M	45	16	55076	45-49	self-employed
256	256	M	18	18	55113	18-24	tradesman/craftsman
257	257	M	25	7	55436	25-34	executive/managerial
258	258	M	25	1	60615	25-34	academic/educator
259	259	M	18	19	98126	18-24	unemployed
260	260	M	25	20	75801	25-34	writer
261	261	F	25	1	68503	25-34	academic/educator
262	262	F	25	7	22304	25-34	executive/managerial
263	263	M	35	0	20755	35-44	other or not specified
264	264	F	35	7	55116	35-44	executive/managerial
265	265	M	35	11	75229	35-44	lawyer
266	266	M	45	12	55001	45-49	programmer
267	267	F	18	12	29708	18-24	programmer
268	268	M	25	2	55408	25-34	artist
269	269	M	50	14	55414	50-55	sales/marketing
270	270	M	18	4	48202	18-24	college/grad student
271	271	M	18	0	80302	18-24	other or not specified
272	272	M	18	4	55427	18-24	college/grad student
273	273	M	18	4	55455	18-24	college/grad student
274	274	M	25	0	48162	25-34	other or not specified
275	275	M	45	16	01982	45-49	self-employed
276	276	F	35	1	98126	35-44	academic/educator
277	277	M	45	18	60482	45-49	tradesman/craftsman
278	278	M	25	14	91214	25-34	sales/marketing
279	279	M	50	7	19118	50-55	executive/managerial
280	280	F	35	0	94117	35-44	other or not specified
281	281	M	25	17	94401	25-34	technician/engineer
282	282	M	25	0	10003	25-34	other or not specified
283	283	M	25	12	91910	25-34	programmer
284	284	F	35	0	94109	35-44	other or not specified
285	285	M	25	1	54601	25-34	academic/educator
286	286	M	50	13	94706	50-55	retired
287	287	F	25	12	97119	25-34	programmer
288	288	F	25	0	11801	25-34	other or not specified
289	289	F	25	20	94591	25-34	writer
290	290	M	35	12	55110	35-44	programmer
291	291	M	35	7	19406	35-44	executive/managerial
292	292	M	56	1	55337-4056	56+	academic/educator
293	293	F	45	9	43147	45-49	homemaker
294	294	M	18	0	80203	18-24	other or not specified
295	295	M	50	5	89432	50-55	customer service
296	296	M	18	2	97211	18-24	artist
297	297	F	18	4	19010	18-24	college/grad student
298	298	M	25	12	97370	25-34	programmer
299	299	M	25	7	78664	25-34	executive/managerial
300	300	M	18	4	61820	18-24	college/grad student
301	301	M	18	4	04901	18-24	college/grad student
302	302	M	25	7	20006	25-34	executive/managerial
303	303	M	25	0	55414	25-34	other or not specified
304	304	F	18	0	55414	18-24	other or not specified
305	305	M	18	0	53051	18-24	other or not specified
306	306	M	50	16	90027	50-55	self-employed
307	307	M	25	2	10025	25-34	artist
308	308	M	25	4	16801	25-34	college/grad student
309	309	F	18	4	31207	18-24	college/grad student
310	310	M	18	4	31201	18-24	college/grad student
311	311	F	50	2	22207	50-55	artist
312	312	F	18	4	02138	18-24	college/grad student
313	313	F	56	9	46911	56+	homemaker
314	314	F	56	1	55105	56+	academic/educator
315	315	M	56	13	90740	56+	retired
316	316	M	35	7	38555	35-44	executive/managerial
317	317	F	56	13	55104	56+	retired
318	318	F	50	6	33436	50-55	doctor/health care
319	319	M	35	6	99516	35-44	doctor/health care
320	320	M	18	4	55128	18-24	college/grad student
321	321	M	56	17	55117	56+	technician/engineer
322	322	M	45	12	53716	45-49	programmer
323	323	M	35	17	55106	35-44	technician/engineer
324	324	F	50	3	55112	50-55	clerical/admin
325	325	M	50	11	25302	50-55	lawyer
326	326	M	35	18	55448	35-44	tradesman/craftsman
327	327	M	35	12	80401	35-44	programmer
328	328	M	35	7	02115	35-44	executive/managerial
329	329	M	56	7	92065	56+	executive/managerial
330	330	M	25	7	55902	25-34	executive/managerial
331	331	M	50	1	55109	50-55	academic/educator
332	332	M	35	2	55410	35-44	artist
333	333	F	56	2	55113	56+	artist
334	334	M	35	18	55434	35-44	tradesman/craftsman
335	335	M	18	0	98765	18-24	other or not specified
336	336	M	18	19	80205	18-24	unemployed
337	337	M	35	7	55116	35-44	executive/managerial
338	338	M	50	7	80207	50-55	executive/managerial
339	339	F	25	3	28001	25-34	clerical/admin
340	340	F	56	13	92119	56+	retired
341	341	M	18	12	55076	18-24	programmer
342	342	F	35	3	55127	35-44	clerical/admin
343	343	M	35	14	75034	35-44	sales/marketing
344	344	M	25	12	94114	25-34	programmer
345	345	F	25	0	55110	25-34	other or not specified
346	346	F	56	1	55305	56+	academic/educator
347	347	M	50	7	55110	50-55	executive/managerial
348	348	M	1	10	08035	Under 18	K-12 student
349	349	M	45	20	08035	45-49	writer
350	350	M	18	4	55105	18-24	college/grad student
351	351	M	18	4	60115	18-24	college/grad student
352	352	F	35	7	92625	35-44	executive/managerial
353	353	M	35	1	55117	35-44	academic/educator
354	354	M	18	3	55107	18-24	clerical/admin
355	355	M	56	20	55101	56+	writer
356	356	M	18	0	98103	18-24	other or not specified
357	357	F	56	1	20815	56+	academic/educator
358	358	M	25	17	55128	25-34	technician/engineer
359	359	M	35	17	28208	35-44	technician/engineer
360	360	F	25	14	94115	25-34	sales/marketing
361	361	M	35	20	55407	35-44	writer
362	362	M	18	10	55419	18-24	K-12 student
363	363	F	35	1	46815	35-44	academic/educator
364	364	F	18	4	02138	18-24	college/grad student
365	365	M	50	15	55126	50-55	scientist
366	366	M	50	12	55421	50-55	programmer
367	367	M	25	0	90293	25-34	other or not specified
368	368	M	35	1	55110	35-44	academic/educator
369	369	M	18	17	22304	18-24	technician/engineer
370	370	M	18	4	02141	18-24	college/grad student
371	371	F	18	4	72227	18-24	college/grad student
372	372	F	25	2	55347	25-34	artist
373	373	F	35	14	55346	35-44	sales/marketing
374	374	M	25	2	55106	25-34	artist
375	375	M	35	1	80026	35-44	academic/educator
376	376	M	25	17	55418	25-34	technician/engineer
377	377	F	18	0	55105	18-24	other or not specified
378	378	F	35	1	54822	35-44	academic/educator
379	379	M	25	2	92024	25-34	artist
380	380	M	35	17	89015	35-44	technician/engineer
381	381	F	35	20	66205	35-44	writer
382	382	F	25	7	78757	25-34	executive/managerial
383	383	M	25	11	55075	25-34	lawyer
384	384	M	25	6	68131	25-34	doctor/health care
385	385	M	25	0	55408	25-34	other or not specified
386	386	F	35	7	55111	35-44	executive/managerial
387	387	F	25	0	10021	25-34	other or not specified
388	388	M	25	6	68128	25-34	doctor/health care
389	389	M	25	4	55405	25-34	college/grad student
390	390	M	45	11	22122	45-49	lawyer
391	391	M	18	7	20037	18-24	executive/managerial
392	392	M	35	17	55402	35-44	technician/engineer
393	393	M	18	0	55013	18-24	other or not specified
394	394	M	18	5	55104	18-24	customer service
395	395	M	25	1	56187	25-34	academic/educator
396	396	M	35	17	22124	35-44	technician/engineer
397	397	M	25	17	55454	25-34	technician/engineer
398	398	F	35	6	55128	35-44	doctor/health care
399	399	F	18	3	55422	18-24	clerical/admin
400	400	M	18	0	55129	18-24	other or not specified
401	401	M	25	11	55427	25-34	lawyer
402	402	M	18	4	02138	18-24	college/grad student
403	403	M	18	4	10128	18-24	college/grad student
404	404	M	56	1	13077	56+	academic/educator
405	405	M	25	20	55105	25-34	writer
406	406	M	18	17	89503	18-24	technician/engineer
407	407	M	25	11	02143	25-34	lawyer
408	408	M	18	12	55122	18-24	programmer
409	409	F	25	1	55417	25-34	academic/educator
410	410	F	45	1	43214	45-49	academic/educator
411	411	M	35	15	55117	35-44	scientist
412	412	M	25	11	55409	25-34	lawyer
413	413	M	25	0	55317	25-34	other or not specified
414	414	F	35	0	55406	35-44	other or not specified
415	415	M	45	14	55076	45-49	sales/marketing
416	416	F	25	0	50613	25-34	other or not specified
417	417	F	25	3	54016	25-34	clerical/admin
418	418	M	18	3	55422	18-24	clerical/admin
419	419	M	35	1	55406	35-44	academic/educator
420	420	F	45	3	55125	45-49	clerical/admin
421	421	M	56	17	55104	56+	technician/engineer
422	422	M	18	4	55455	18-24	college/grad student
423	423	M	25	17	55112	25-34	technician/engineer
424	424	M	25	12	55303	25-34	programmer
425	425	M	18	4	55455	18-24	college/grad student
426	426	M	35	12	55104	35-44	programmer
427	427	F	18	4	55455	18-24	college/grad student
428	428	M	18	0	54901	18-24	other or not specified
429	429	F	18	10	55306	18-24	K-12 student
430	430	M	18	10	55303	18-24	K-12 student
431	431	M	45	16	55306	45-49	self-employed
432	432	M	50	6	55115	50-55	doctor/health care
433	433	F	45	3	98155	45-49	clerical/admin
434	434	M	25	7	55125	25-34	executive/managerial
435	435	M	18	4	43023	18-24	college/grad student
436	436	M	35	17	55030	35-44	technician/engineer
437	437	M	18	11	53705	18-24	lawyer
438	438	M	35	14	55129	35-44	sales/marketing
439	439	M	56	1	32940	56+	academic/educator
440	440	M	35	1	55127	35-44	academic/educator
441	441	M	25	1	55105	25-34	academic/educator
442	442	M	25	3	55421	25-34	clerical/admin
443	443	M	56	0	55108	56+	other or not specified
444	444	M	45	12	55117	45-49	programmer
445	445	F	50	0	55042	50-55	other or not specified
446	446	F	45	11	55105	45-49	lawyer
447	447	M	25	17	80123	25-34	technician/engineer
448	448	M	25	7	85037	25-34	executive/managerial
449	449	M	45	1	24523	45-49	academic/educator
450	450	M	56	13	54720	56+	retired
451	451	M	50	17	55117	50-55	technician/engineer
452	452	M	18	4	55102	18-24	college/grad student
453	453	M	25	20	55092	25-34	writer
454	454	F	35	2	55113	35-44	artist
455	455	M	35	0	55105	35-44	other or not specified
456	456	M	18	4	54703	18-24	college/grad student
457	457	M	50	16	55405-2546	50-55	self-employed
458	458	F	18	4	55105	18-24	college/grad student
459	459	M	45	18	55313	45-49	tradesman/craftsman
460	460	M	50	7	55075	50-55	executive/managerial
461	461	M	18	16	55416	18-24	self-employed
462	462	M	25	7	55105	25-34	executive/managerial
463	463	F	18	4	55455	18-24	college/grad student
464	464	M	18	19	94523	18-24	unemployed
465	465	M	25	5	55405	25-34	customer service
466	466	F	35	3	55075	35-44	clerical/admin
467	467	F	1	10	55082	Under 18	K-12 student
468	468	M	35	6	55122	35-44	doctor/health care
469	469	F	1	10	55068	Under 18	K-12 student
470	470	M	35	7	08904	35-44	executive/managerial
471	471	M	35	0	55418	35-44	other or not specified
472	472	F	18	4	55112	18-24	college/grad student
473	473	M	25	17	92126	25-34	technician/engineer
474	474	F	25	2	55421	25-34	artist
475	475	M	35	0	55127	35-44	other or not specified
476	476	M	35	14	55410	35-44	sales/marketing
477	477	M	50	16	55113	50-55	self-employed
478	478	M	25	12	55042	25-34	programmer
479	479	F	18	4	55422	18-24	college/grad student
480	480	M	45	7	55115	45-49	executive/managerial
481	481	M	25	14	55305	25-34	sales/marketing
482	482	M	18	12	55105	18-24	programmer
483	483	F	1	10	55104	Under 18	K-12 student
484	484	M	56	7	55042	56+	executive/managerial
485	485	M	56	0	91367	56+	other or not specified
486	486	F	35	17	55082	35-44	technician/engineer
487	487	M	25	12	55107	25-34	programmer
488	488	M	18	4	55455	18-24	college/grad student
489	489	M	1	10	55345	Under 18	K-12 student
490	490	M	18	4	56043	18-24	college/grad student
491	491	M	25	12	55112	25-34	programmer
492	492	M	50	7	55016	50-55	executive/managerial
493	493	F	35	0	17870	35-44	other or not specified
494	494	M	18	10	55421	18-24	K-12 student
495	495	M	18	4	55455	18-24	college/grad student
496	496	F	25	17	55412	25-34	technician/engineer
497	497	M	35	17	55113	35-44	technician/engineer
498	498	F	25	1	55108	25-34	academic/educator
499	499	F	18	2	55105	18-24	artist
500	500	M	25	2	55372	25-34	artist
501	501	M	35	6	55126	35-44	doctor/health care
502	502	M	35	11	73120	35-44	lawyer
503	503	M	25	2	17003	25-34	artist
504	504	M	35	17	37815	35-44	technician/engineer
505	505	M	25	16	55103-1006	25-34	self-employed
506	506	F	25	0	55405	25-34	other or not specified
507	507	M	25	12	55418	25-34	programmer
508	508	M	25	2	55125	25-34	artist
509	509	M	18	12	55109	18-24	programmer
510	510	F	45	4	15232	45-49	college/grad student
511	511	M	35	0	55379	35-44	other or not specified
512	512	M	25	0	55119	25-34	other or not specified
513	513	M	25	2	55113	25-34	artist
514	514	M	25	1	55406	25-34	academic/educator
515	515	F	56	14	55033	56+	sales/marketing
516	516	F	25	14	55408	25-34	sales/marketing
517	517	F	35	12	75240	35-44	programmer
518	518	F	35	14	55038	35-44	sales/marketing
519	519	F	35	20	55104	35-44	writer
520	520	M	56	7	55105	56+	executive/managerial
521	521	M	25	12	55124	25-34	programmer
522	522	M	50	7	55105	50-55	executive/managerial
523	523	M	18	0	91320	18-24	other or not specified
524	524	M	35	6	19027	35-44	doctor/health care
525	525	M	45	17	94806	45-49	technician/engineer
526	526	F	25	2	11201	25-34	artist
527	527	F	18	17	83843	18-24	technician/engineer
528	528	M	35	12	92009	35-44	programmer
529	529	M	25	2	10019	25-34	artist
530	530	F	18	14	22206	18-24	sales/marketing
531	531	M	25	7	94301	25-34	executive/managerial
532	532	M	25	12	27514	25-34	programmer
533	533	M	25	15	55902	25-34	scientist
534	534	M	35	6	95370	35-44	doctor/health care
535	535	M	25	20	01267	25-34	writer
536	536	M	45	14	07704	45-49	sales/marketing
537	537	M	56	16	95407	56+	self-employed
538	538	M	25	2	55103	25-34	artist
539	539	M	18	1	15213	18-24	academic/educator
540	540	F	18	4	5849574	18-24	college/grad student
541	541	M	18	4	78705	18-24	college/grad student
542	542	M	25	5	55057	25-34	customer service
543	543	M	35	12	94538	35-44	programmer
544	544	M	35	17	01890	35-44	technician/engineer
545	545	F	25	0	37211	25-34	other or not specified
546	546	M	35	12	76109	35-44	programmer
547	547	F	35	16	96860	35-44	self-employed
548	548	M	25	6	53217	25-34	doctor/health care
549	549	M	45	8	21559	45-49	farmer
550	550	M	35	20	55116	35-44	writer
551	551	M	50	18	23456	50-55	tradesman/craftsman
552	552	M	25	2	94131	25-34	artist
553	553	M	25	12	94086	25-34	programmer
554	554	M	18	4	53213	18-24	college/grad student
555	555	F	25	9	37221	25-34	homemaker
556	556	M	56	1	30030	56+	academic/educator
557	557	M	35	20	55108	35-44	writer
558	558	F	25	7	60422	25-34	executive/managerial
559	559	M	45	15	81335	45-49	scientist
560	560	F	18	14	64060	18-24	sales/marketing
561	561	M	35	20	48083	35-44	writer
562	562	M	25	4	53703	25-34	college/grad student
563	563	M	45	1	49419	45-49	academic/educator
564	564	M	25	16	45242	25-34	self-employed
565	565	M	25	17	92122	25-34	technician/engineer
566	566	M	35	20	52570-9634	35-44	writer
567	567	F	50	17	19716	50-55	technician/engineer
568	568	F	18	4	97339	18-24	college/grad student
569	569	M	25	4	33314	25-34	college/grad student
570	570	M	50	5	95401	50-55	customer service
571	571	M	18	4	61801	18-24	college/grad student
572	572	F	35	2	98119	35-44	artist
573	573	M	25	19	90214	25-34	unemployed
574	574	M	25	12	92130	25-34	programmer
575	575	F	45	15	20910	45-49	scientist
576	576	M	35	0	02115	35-44	other or not specified
577	577	M	18	17	90064	18-24	technician/engineer
578	578	M	25	5	32839	25-34	customer service
579	579	M	1	10	08534	Under 18	K-12 student
580	580	M	50	14	73543	50-55	sales/marketing
581	581	M	18	4	67042	18-24	college/grad student
582	582	F	25	0	48067	25-34	other or not specified
583	583	F	25	0	94403	25-34	other or not specified
584	584	M	18	1	53703	18-24	academic/educator
585	585	M	35	14	53092	35-44	sales/marketing
586	586	M	25	20	92649	25-34	writer
587	587	F	25	11	23220	25-34	lawyer
588	588	M	18	2	90210	18-24	artist
589	589	F	35	6	98032	35-44	doctor/health care
590	590	M	25	0	76201	25-34	other or not specified
591	591	M	18	0	92103	18-24	other or not specified
592	592	F	50	1	91711	50-55	academic/educator
593	593	F	56	13	60076	56+	retired
594	594	M	25	7	10019	25-34	executive/managerial
595	595	F	25	1	01950	25-34	academic/educator
596	596	M	35	12	80206	35-44	programmer
597	597	M	35	7	95476	35-44	executive/managerial
598	598	M	50	6	53711	50-55	doctor/health care
599	599	M	35	17	66209	35-44	technician/engineer
600	600	F	18	20	06320	18-24	writer
601	601	F	56	6	14612	56+	doctor/health care
602	602	F	25	6	32256	25-34	doctor/health care
603	603	M	45	17	32256	45-49	technician/engineer
604	604	F	18	4	44425	18-24	college/grad student
605	605	F	1	10	49507	Under 18	K-12 student
606	606	M	25	0	43614	25-34	other or not specified
607	607	M	18	4	18011	18-24	college/grad student
608	608	M	25	7	10012	25-34	executive/managerial
609	609	M	25	4	77025	25-34	college/grad student
610	610	M	35	0	20715	35-44	other or not specified
611	611	M	50	7	95020	50-55	executive/managerial
612	612	M	35	20	10562	35-44	writer
613	613	M	35	1	90024	35-44	academic/educator
